"id";"base_amount";"category";"image";"name";"price";"short_desc";"unit";"weight_per_unit"
24;190;"DRYGOODS";"https://cdcimg.coop.no/rte/RTE2/8076809513753.png";"Grønn Pesto";29.9;"Barilla Pesto alla Genovese";"GRAMS";1.0
25;125;"DAIRY";"https://bilder.kolonial.no/local_products/dc0774fc-1b09-4ab5-b03c-f12655c64f37.jpeg?auto=format&fit=max&w=109&s=15c2643fd74d0f00f50fee57bd07a4c1";"Parmesan";59.7;"Tradisjonsrik italiensk fastost, perfekt til matlaging og gratinering. Laget på upasteurisert melk og animalsk løpe.";"GRAMS";1.0
26;1;"VEGETABLES";"https://res.cloudinary.com/norgesgruppen/image/upload/v1647661227/Product/94349.jpg";"Brokkoli Økologisk";24.9;"Brokkoli Økologisk 400g";"ITEM";400.0
27;1;"DRYGOODS";"https://cdcimg.coop.no/rte/RTE2/7311312003409.png";"Tikka Masala Saus";57.9;"Santa Maria Tikka Masala Saus 350g";"ITEM";350.0
28;1;"VEGETABLES";"https://res.cloudinary.com/norgesgruppen/image/upload/v1542931796/Product/2000306100006.jpg";"Bifftomat";15.66;"Bifftomat";"ITEM";250.0
29;750;"DRYGOODS";"https://bilder.ngdata.no/7041611019107/kmh/large.jpg";"Gulrotbrød";45.9;"Gulrotbrød 750g Bakehuset";"GRAMS";1.0
30;100;"MEAT";"https://bilder.ngdata.no/7058040657305/kmh/large.jpg";"Chorizo";43.9;"Chorizo 100g Grilstad";"GRAMS";1.0
31;215;"DAIRY";"https://bilder.ngdata.no/7036110009759/kmh/large.jpg";"Majones";35.5;"Mills ekte majones er den originale majonesen. og smaken som nordmenn har foretrukket siden 1951. Tilfrer det lille ekstra til et måltid og passer perfekt som topping på brødskiven. Også god til matlaging!";"GRAMS";1.0
32;455;"DRYGOODS";"https://cdcimg.coop.no/rte/RTE2/87666052802.png";"Sriracha";52.9;"Sriracha Hot Chilli 455ml";"MILLILITER";1.0
33;750;"VEGETABLES";"https://bilder.ngdata.no/7040513000022/meny/large.jpg";"Gulrot";28.9;"Gulrot 750g Beger";"GRAMS";1.0
34;1;"DRYGOODS";"https://cdcimg.coop.no/rte/RTE2/7039010081337.png";"Idun Ketchup";35.9;"Frisk, god smak av solmodne tomater. Visste du at Idun bruker 2 kg tomater til 1 kg ketchup.";"ITEM";910.0
35;1;"DRYGOODS";"https://bilder.ngdata.no/87157239/kmh/large.jpg";"Heinz Ketchup";42.9;"Heinz originale tomatketchup fra 1876. Laget på solmodne, faste, kjøttfulle og smaksrike Heinz-tomater, dyrket på utvalgte plantasjer. Uten konserveringsmidler og andre tilsetningsstoffer. EKTE SMAK SIDEN 1876!";"ITEM";570.0
36;1000;"DRYGOODS";"https://bilder.ngdata.no/7020655001040/kmh/large.jpg";"Hvetemel Siktet";33.9;"Hvetemel Siktet 1kg boks Møllerens";"GRAMS";1.0
37;1000;"DRYGOODS";"https://bilder.ngdata.no/7044416013141/kmh/large.jpg";"Havregryn Lettkokte";24.9;"Havre er vårt sunneste kornslag spekket med fiber, vitaminer og karbohydrat. Et godt og sunt gryn som har fått plass på de fleste norske kjøkken. Visste du at.. Havren som høstes kommer til vår mølle i Moss. Her tar vi vare på hele råvaren. Skallet blir";"GRAMS";1.0
38;1000;"DRYGOODS";"https://bilder.ngdata.no/9050/kiwi/large.jpg";"Sukker Farin";24.9;"Sukker farin";"GRAMS";1.0
39;130;"VEGETABLES";"https://bilder.ngdata.no/80042532/kmh/large.jpg";"Tomatpure";26.9;"Italiensk, dobbeltkonsentrert tomatpure. Tomatpure er perfekt for å gi farge, smak og konsistens til matretter. Anbefales å bruke til retter som har lang koketid, eller som krever en intens tomatsmak. Passer godt til rødt og hvitt kjøtt, supper og fisk so";"GRAMS";1.0
40;1000;"DAIRY";"https://bilder.ngdata.no/7038010001642/kmh/large.jpg";"Lettmelk";23.9;"Tinemelk kommer fra gårder i regionen der du bor. Melk inneholder flere viktige næringsstoffer som kroppen trenger hver dag. Melk er kilde til kalsium, protein, fosfor og vitamin B2 og B12. Tre glass melk om dagen dekker ca. 75 prosent av kalsiumbehovet ";"MILLILITER";1.0
41;1000;"DAIRY";"https://bilder.ngdata.no/7038010002151/kmh/large.jpg";"Skummet Melk";22.9;"TINE Melk kommer fra gårder i regionen der du bor. Melk er kilde til kalsium, protein, fosfor og vitamin B2 og B12. Dessuten er melk en viktig kilde til jod i det norske kostholdet.";"MILLILITER";1.0
42;1;"VEGETABLES";"https://bilder.ngdata.no/4088/kmh/large.jpg";"Paprika Rød";22.89;"Paprika rød";"ITEM";150.0
43;200;"DRYGOODS";"https://bilder.ngdata.no/7040110569908/kmh/large.jpg";"Melkesjokolade Freia";39.9;"Melkesjokolade Freia";"GRAMS";200.0
44;220;"DRYGOODS";"https://bilder.ngdata.no/7310350131020/kmh/large.jpg";"Godt & Blandet";34.9;"Godt & Blandet 220g";"GRAMS";220.0
